id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
755;KINGDOM;;BR;TRUE;FALSE
756;KINGDOM;;BR;TRUE;FALSE
757;KINGDOM;;BR;TRUE;FALSE
758;KINGDOM;;BR;TRUE;FALSE
759;KINGDOM;;BR;TRUE;FALSE
760;KINGDOM;;BR;TRUE;FALSE
761;KINGDOM;;BR;TRUE;FALSE
762;KINGDOM;;BR;TRUE;FALSE
763;KINGDOM;;BR;TRUE;FALSE
764;KINGDOM;;BR;TRUE;FALSE
765;KINGDOM;;BR;TRUE;FALSE
766;KINGDOM;;BR;TRUE;FALSE
767;KINGDOM;;BR;TRUE;FALSE
768;KINGDOM;;BR;TRUE;FALSE
769;KINGDOM;;BR;TRUE;FALSE
770;GENUS;ACCEPTED;BR;TRUE;FALSE
771;KINGDOM;;BR;TRUE;FALSE
772;KINGDOM;;BR;TRUE;FALSE
773;GENUS;ACCEPTED;BR;TRUE;FALSE
774;GENUS;ACCEPTED;BR;TRUE;FALSE
775;GENUS;ACCEPTED;BR;TRUE;FALSE
776;KINGDOM;;BR;TRUE;FALSE
777;KINGDOM;;BR;TRUE;FALSE
778;KINGDOM;;BR;TRUE;FALSE
779;KINGDOM;;BR;TRUE;FALSE
780;GENUS;ACCEPTED;BR;TRUE;FALSE
781;KINGDOM;;BR;TRUE;FALSE
782;GENUS;ACCEPTED;BR;TRUE;FALSE
783;GENUS;ACCEPTED;BR;TRUE;FALSE
784;KINGDOM;;BR;TRUE;FALSE
785;GENUS;ACCEPTED;BR;TRUE;FALSE
786;KINGDOM;;BR;TRUE;FALSE
787;KINGDOM;;BR;TRUE;FALSE
788;KINGDOM;;BR;TRUE;FALSE
789;KINGDOM;;BR;TRUE;FALSE
790;GENUS;ACCEPTED;BR;TRUE;FALSE
791;KINGDOM;;BR;TRUE;FALSE
792;GENUS;ACCEPTED;BR;TRUE;FALSE
793;KINGDOM;;BR;TRUE;FALSE
794;KINGDOM;;BR;TRUE;FALSE
795;KINGDOM;;BR;TRUE;FALSE
796;GENUS;ACCEPTED;BR;TRUE;FALSE
797;KINGDOM;;BR;TRUE;FALSE
798;KINGDOM;;BR;TRUE;FALSE
799;KINGDOM;;BR;TRUE;FALSE
800;KINGDOM;;BR;TRUE;FALSE
801;KINGDOM;;BR;TRUE;FALSE
802;KINGDOM;;BR;TRUE;FALSE
803;GENUS;ACCEPTED;BR;TRUE;FALSE
804;KINGDOM;;BR;TRUE;FALSE
805;KINGDOM;;BR;TRUE;FALSE
806;KINGDOM;;BR;TRUE;FALSE
807;KINGDOM;;BR;TRUE;FALSE
808;KINGDOM;;BR;TRUE;FALSE
809;KINGDOM;;BR;TRUE;FALSE
810;GENUS;ACCEPTED;BR;TRUE;FALSE
811;KINGDOM;;BR;TRUE;FALSE
812;GENUS;ACCEPTED;BR;TRUE;FALSE
813;KINGDOM;;BR;TRUE;FALSE
814;KINGDOM;;BR;TRUE;FALSE
815;KINGDOM;;BR;TRUE;FALSE
816;KINGDOM;;BR;TRUE;FALSE
817;SPECIES;ACCEPTED;BR;TRUE;FALSE
818;KINGDOM;;BR;TRUE;FALSE
819;KINGDOM;;BR;TRUE;FALSE
820;KINGDOM;;BR;TRUE;FALSE
821;SPECIES;ACCEPTED;BR;TRUE;FALSE
822;KINGDOM;;BR;TRUE;FALSE
